yearID,lgID,teamID,W,R,AB,H,BA,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP
2003,NL,COL,74,853,5518,1472,0.26676332,330,31,198,619,1134,63,37,52,38,892,821,5.2,3,4,34,4260,1629,200,552,866,116,165,0.98
2003,NL,SDN,64,678,5531,1442,0.260712349,257,32,128,565,1073,76,39,57,42,831,774,4.87,2,10,31,4294,1458,208,611,1091,102,141,0.98
2004,AL,MIN,92,780,5623,1494,0.265694469,310,24,191,513,982,116,46,64,40,715,661,4.03,4,9,48,4428,1523,167,431,1123,101,158,0.98
2004,AL,CHA,83,865,5534,1481,0.267618359,284,19,242,499,1030,78,51,63,42,831,782,4.91,8,8,34,4297,1505,224,527,1013,100,167,0.98
2004,AL,CLE,80,858,5676,1565,0.27572234,345,29,184,606,1009,94,55,78,42,857,784,4.81,8,8,32,4400,1553,201,579,1115,106,152,0.98
2004,AL,DET,72,827,5623,1531,0.272274587,284,54,201,518,1144,86,50,50,43,844,788,4.93,7,9,35,4319,1542,190,530,995,144,160,0.97
2004,AL,KCA,58,720,5538,1432,0.258577104,261,29,150,461,1057,67,48,76,38,905,813,5.15,6,3,25,4261,1638,208,518,887,131,169,0.97
2004,AL,NYA,101,897,5527,1483,0.26831916,281,20,242,670,982,84,33,80,50,808,752,4.69,1,5,59,4331,1532,182,445,1058,99,148,0.98
2004,AL,BOS,98,949,5720,1613,0.281993007,373,25,222,659,1189,68,30,69,55,768,674,4.18,4,12,36,4354,1430,159,447,1132,118,129,0.98
2004,AL,BAL,78,842,5736,1614,0.281380753,319,18,169,528,949,101,41,57,62,830,760,4.7,8,10,27,4366,1488,159,687,1090,110,161,0.98
2004,AL,TBA,70,714,5483,1416,0.258252781,278,46,145,469,944,132,42,55,56,842,757,4.81,3,5,35,4251,1459,192,580,923,119,139,0.98
2004,AL,TOR,67,719,5531,1438,0.259989152,290,34,145,513,1083,58,31,71,42,823,775,4.91,6,11,37,4263,1505,181,608,956,91,150,0.98
2004,AL,ANA,92,836,5675,1603,0.28246696,272,37,162,450,942,143,46,73,41,734,692,4.28,2,11,50,4363,1476,170,502,1164,90,126,0.98
2004,AL,OAK,91,793,5728,1545,0.269727654,336,15,189,608,1061,47,22,55,43,742,682,4.17,10,8,35,4414,1466,164,544,1034,91,172,0.98
2004,AL,TEX,89,860,5615,1492,0.26571683,323,34,227,500,1099,69,36,61,57,794,724,4.53,5,9,52,4319,1536,182,547,979,117,152,0.98
2004,AL,SEA,63,698,5722,1544,0.269835722,276,20,136,492,1058,110,42,54,48,823,772,4.76,7,7,28,4378,1498,212,575,1036,103,140,0.98
2004,NL,SLN,105,855,5555,1544,0.277947795,319,24,214,548,1085,111,47,51,70,659,605,3.75,4,12,57,4361,1378,169,440,1041,97,154,0.98
2004,NL,HOU,92,803,5468,1458,0.266642282,294,36,187,590,999,89,30,61,52,698,650,4.05,2,13,47,4329,1416,174,525,1282,101,136,0.98
2004,NL,CHN,89,789,5628,1508,0.267945984,308,29,235,489,1080,66,28,38,48,665,621,3.81,3,6,42,4396,1363,169,545,1346,86,126,0.98
2004,NL,CIN,76,750,5518,1380,0.250090613,287,28,194,599,1335,77,25,81,25,907,832,5.19,5,8,47,4331,1595,236,572,992,113,123,0.98
2004,NL,PIT,72,680,5483,1428,0.260441364,267,39,142,415,1066,63,40,95,42,744,680,4.29,3,8,46,4284,1451,149,576,1079,103,189,0.98
2004,NL,MIL,67,634,5483,1358,0.247674631,295,32,135,540,1312,138,40,68,40,757,679,4.24,6,10,42,4326,1440,164,476,1098,117,132,0.98
2004,NL,ATL,96,803,5570,1503,0.26983842,304,37,178,587,1158,86,32,59,48,668,603,3.74,4,13,48,4350,1475,154,523,1025,116,171,0.98
2004,NL,PHI,86,840,5643,1505,0.266702109,303,23,215,645,1133,100,27,58,46,781,724,4.45,4,5,43,4388,1488,214,502,1070,81,142,0.98
2004,NL,FLO,83,718,5486,1447,0.263762304,275,32,148,499,968,96,43,58,40,700,655,4.1,6,14,53,4317,1395,166,513,1116,86,153,0.98
2004,NL,NYN,71,684,5532,1376,0.248734635,289,20,185,512,1159,107,23,61,34,731,658,4.09,2,6,31,4347,1452,156,592,977,137,144,0.97
2004,NL,MON,67,635,5474,1361,0.248629887,276,27,151,496,925,109,38,35,33,769,696,4.33,11,11,31,4341,1477,191,582,1032,99,171,0.98
2004,NL,LAN,93,761,5542,1450,0.261638398,226,30,203,536,1092,102,41,62,35,684,647,4.01,2,6,51,4360,1386,178,521,1066,73,145,0.98
